Insured Age,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake
18,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
19,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
20,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
21,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
22,1.1648,1.0000,1.0000,1.1339,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
23,1.1648,1.0000,1.0000,1.1291,1.2161,1.3762,1.0000,1.0000,1.0000,1.0000
24,1.1648,1.0000,1.0000,1.1244,1.2161,1.3535,1.0000,1.0000,1.0000,1.0000
25,1.1648,1.0000,1.0000,1.1197,1.2161,1.3320,1.0000,1.0000,1.0000,1.0000
26,1.1648,1.0000,1.0000,1.1150,1.2161,1.3117,1.0000,1.0000,1.0000,1.0000
27,1.1648,1.0000,1.0000,1.1104,1.2161,1.2925,1.0000,1.0000,1.0000,1.0000
28,1.1648,1.0000,1.0000,1.1057,1.2161,1.2742,1.0000,1.0000,1.0000,1.0000
29,1.1648,1.0000,1.0000,1.1011,1.2161,1.2568,1.0000,1.0000,1.0000,1.0000
30,1.1648,1.0000,1.0000,1.0965,1.2161,1.2403,1.0000,1.0000,1.0000,1.0000
31,1.1511,1.0000,1.0000,1.0919,1.2102,1.2244,1.0000,1.0000,1.0000,1.0000
32,1.1381,1.0000,1.0000,1.0874,1.2035,1.2093,1.0000,1.0000,1.0000,1.0000
33,1.1258,1.0000,1.0000,1.0828,1.1961,1.1948,1.0000,1.0000,1.0000,1.0000
34,1.1142,1.0000,1.0000,1.0783,1.1879,1.1810,1.0000,1.0000,1.0000,1.0000
35,1.1031,1.0000,1.0000,1.0738,1.1792,1.1676,1.0000,1.0000,1.0000,1.0000
36,1.0927,1.0000,1.0000,1.0693,1.1699,1.1548,1.0000,1.0000,1.0000,1.0000
37,1.0829,1.0000,1.0000,1.0648,1.1602,1.1425,1.0000,1.0000,1.0000,1.0000
38,1.0737,1.0000,1.0000,1.0604,1.1500,1.1306,1.0000,1.0000,1.0000,1.0000
39,1.0650,1.0000,1.0000,1.0559,1.1396,1.1192,1.0000,1.0000,1.0000,1.0000
40,1.0569,1.0000,1.0000,1.0515,1.1288,1.1082,1.0000,1.0000,1.0000,1.0000
41,1.0494,1.0000,1.0000,1.0471,1.1179,1.0975,1.0000,1.0000,1.0000,1.0000
42,1.0424,1.0000,1.0000,1.0428,1.1068,1.0872,1.0000,1.0000,1.0000,1.0000
43,1.0359,1.0000,1.0000,1.0384,1.0956,1.0772,1.0000,1.0000,1.0000,1.0000
44,1.0299,1.0000,1.0000,1.0341,1.0844,1.0676,1.0000,1.0000,1.0000,1.0000
45,1.0245,1.0000,1.0000,1.0297,1.0732,1.0582,1.0000,1.0000,1.0000,1.0000
46,1.0195,1.0000,1.0000,1.0254,1.0621,1.0492,1.0000,1.0000,1.0000,1.0000
47,1.0151,1.0000,1.0000,1.0212,1.0512,1.0404,1.0000,1.0000,1.0000,1.0000
48,1.0111,1.0000,1.0000,1.0169,1.0404,1.0318,1.0000,1.0000,1.0000,1.0000
49,1.0076,1.0000,1.0000,1.0126,1.0299,1.0235,1.0000,1.0000,1.0000,1.0000
50,1.0046,1.0000,1.0000,1.0084,1.0196,1.0155,1.0000,1.0000,1.0000,1.0000
51,1.0021,1.0000,1.0000,1.0042,1.0096,1.0076,1.0000,1.0000,1.0000,1.0000
52,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
53,0.9984,1.0000,1.0000,0.9958,0.9908,0.9926,1.0000,1.0000,1.0000,1.0000
54,0.9973,1.0000,1.0000,0.9917,0.9820,0.9853,1.0000,1.0000,1.0000,1.0000
55,0.9966,1.0000,1.0000,0.9875,0.9737,0.9783,1.0000,1.0000,1.0000,1.0000
56,0.9964,1.0000,1.0000,0.9834,0.9659,0.9714,1.0000,1.0000,1.0000,1.0000
57,0.9967,1.0000,1.0000,0.9793,0.9586,0.9647,1.0000,1.0000,1.0000,1.0000
58,0.9974,1.0000,1.0000,0.9752,0.9519,0.9582,1.0000,1.0000,1.0000,1.0000
59,0.9986,1.0000,1.0000,0.9711,0.9458,0.9518,1.0000,1.0000,1.0000,1.0000
60,1.0002,1.0000,1.0000,0.9671,0.9403,0.9455,1.0000,1.0000,1.0000,1.0000
61,1.0023,1.0000,1.0000,0.9630,0.9355,0.9394,1.0000,1.0000,1.0000,1.0000
62,1.0049,1.0000,1.0000,0.9590,0.9315,0.9335,1.0000,1.0000,1.0000,1.0000
63,1.0080,1.0000,1.0000,0.9550,0.9282,0.9276,1.0000,1.0000,1.0000,1.0000
64,1.0115,1.0000,1.0000,0.9510,0.9256,0.9219,1.0000,1.0000,1.0000,1.0000
65,1.0156,1.0000,1.0000,0.9470,0.9239,0.9164,1.0000,1.0000,1.0000,1.0000
66,1.0201,1.0000,1.0000,0.9431,0.9231,0.9109,1.0000,1.0000,1.0000,1.0000
67,1.0251,1.0000,1.0000,0.9391,0.9231,0.9055,1.0000,1.0000,1.0000,1.0000
68,1.0306,1.0000,1.0000,0.9352,0.9241,0.9003,1.0000,1.0000,1.0000,1.0000
69,1.0366,1.0000,1.0000,0.9313,0.9261,0.8952,1.0000,1.0000,1.0000,1.0000
70,1.0432,1.0000,1.0000,0.9274,0.9292,0.8902,1.0000,1.0000,1.0000,1.0000
71,1.0503,1.0000,1.0000,0.9235,0.9333,0.8852,1.0000,1.0000,1.0000,1.0000
72,1.0579,1.0000,1.0000,0.9197,0.9386,0.8804,1.0000,1.0000,1.0000,1.0000
73,1.0660,1.0000,1.0000,0.9158,0.9452,0.8756,1.0000,1.0000,1.0000,1.0000
74,1.0748,1.0000,1.0000,0.9120,0.9530,0.8710,1.0000,1.0000,1.0000,1.0000
75,1.0841,1.0000,1.0000,0.9082,0.9622,0.8664,1.0000,1.0000,1.0000,1.0000
76,1.0940,1.0000,1.0000,0.9044,0.9729,0.8620,1.0000,1.0000,1.0000,1.0000
77,1.1044,1.0000,1.0000,0.9006,0.9851,0.8576,1.0000,1.0000,1.0000,1.0000
78,1.1156,1.0000,1.0000,0.8968,0.9990,0.8532,1.0000,1.0000,1.0000,1.0000
79,1.1273,1.0000,1.0000,0.8931,1.0147,0.8490,1.0000,1.0000,1.0000,1.0000
80,1.1397,1.0000,1.0000,0.8894,1.0322,0.8448,1.0000,1.0000,1.0000,1.0000
81,1.1528,1.0000,1.0000,0.8857,1.0518,0.8407,1.0000,1.0000,1.0000,1.0000
82,1.1665,1.0000,1.0000,0.8820,1.0736,0.8367,1.0000,1.0000,1.0000,1.0000
83,1.1810,1.0000,1.0000,0.8783,1.0978,0.8327,1.0000,1.0000,1.0000,1.0000
84,1.1962,1.0000,1.0000,0.8746,1.1245,0.8288,1.0000,1.0000,1.0000,1.0000
85,1.2122,1.0000,1.0000,0.8709,1.1541,0.8250,1.0000,1.0000,1.0000,1.0000
86,1.2289,1.0000,1.0000,0.8673,1.1866,0.8212,1.0000,1.0000,1.0000,1.0000
87,1.2465,1.0000,1.0000,0.8637,1.2224,0.8175,1.0000,1.0000,1.0000,1.0000
88,1.2648,1.0000,1.0000,0.8601,1.2618,0.8139,1.0000,1.0000,1.0000,1.0000
89,1.2841,1.0000,1.0000,0.8565,1.3052,0.8103,1.0000,1.0000,1.0000,1.0000
90,1.3043,1.0000,1.0000,0.8529,1.3528,0.8067,1.0000,1.0000,1.0000,1.0000
91,1.3043,1.0000,1.0000,0.8529,1.3528,0.8033,1.0000,1.0000,1.0000,1.0000
92,1.3043,1.0000,1.0000,0.8529,1.3528,0.7998,1.0000,1.0000,1.0000,1.0000
93,1.3043,1.0000,1.0000,0.8529,1.3528,0.7965,1.0000,1.0000,1.0000,1.0000
94,1.3043,1.0000,1.0000,0.8529,1.3528,0.7931,1.0000,1.0000,1.0000,1.0000
95,1.3043,1.0000,1.0000,0.8529,1.3528,0.7931,1.0000,1.0000,1.0000,1.0000
96,1.3043,1.0000,1.0000,0.8529,1.3528,0.7931,1.0000,1.0000,1.0000,1.0000
97,1.3043,1.0000,1.0000,0.8529,1.3528,0.7931,1.0000,1.0000,1.0000,1.0000
98,1.3043,1.0000,1.0000,0.8529,1.3528,0.7931,1.0000,1.0000,1.0000,1.0000
99,1.3043,1.0000,1.0000,0.8529,1.3528,0.7931,1.0000,1.0000,1.0000,1.0000
100+,1.3043,1.0000,1.0000,0.8529,1.3528,0.7931,1.0000,1.0000,1.0000,1.0000
